Name ,Country ,Sex,Age,University ,Department ,CGPA
Renate Brimming,Argentina,M,40,Instituto Universitario Nacional del Arte,Engineering,3.8
Hayden Bowden,France,F,34,Ecole Nationale de l'Aviation Civile,Legal,2.96
Yale Edgeler,Malaysia,M,20,Islamic College for Sciences and Technologies,Training,2.06
Ericka Herity,Croatia,M,44,University of Rijeka,Accounting,2.62
Dominic Windrass,Philippines,F,39,Silliman University,Legal,1.6
Sebastian Ravel,Indonesia,F,49,Universitas Sam Ratulangi,Human Resources,2.19
Skyler Franses,Morocco,F,47,ISFORT - Institut de Formation en Technologie Alimentaire,Sales,4.61
Mick Revening,Portugal,M,29,Instituto Superior de Ciências Educativas,Services,1.05
Joana Mc Comb,China,F,43,Northeast Forest University,Business Development,2.92
Dara Merrigan,France,F,44,Ecole Spéciale de Mécanique et d'Electricité,Product Management,1.14
Raffarty Gadeaux,Indonesia,M,33,Universitas Pembangunan Panca Budi,Human Resources,3.86
Brant Eudall,Russia,F,25,Irkutsk State Technical University,Accounting,1.85
Waly Toffolini,Somalia,M,48,East Somalia University,Marketing,2.32
Vassili Maslin,Philippines,M,42,West Visayas State University,Product Management,4.08
Emery Schellig,Indonesia,F,33,Universitas Ahmad Dahlan,Engineering,0.17
Morse Corben,United States,F,42,Roger Williams University,Product Management,1.04
Stanislaw Esberger,China,F,48,Shenyang Institute of Chemical Technology,Human Resources,4.76
Abrahan Oddie,Uganda,M,23,Kyambogo University,Accounting,1.63
Arron MacScherie,Indonesia,F,41,Universitas Katolik Widya Karya,Marketing,2.04
Vina Prover,China,M,34,Tianjin Academy of Fine Art,Engineering,1.3
Ferdinand Kondratovich,Russia,F,35,Birsk State Pedagogical Institute,Business Development,3.94
Mart Tabord,Philippines,M,40,Colegio de San Juan de Letran,Services,2.69
Lemuel Peery,Indonesia,M,49,Abfi Institute Perbanas Jakarta,Training,4.74
Sibby Maddrah,Brazil,M,43,Universidade Estadual de Londrina,Support,1.13
Farr Lewisham,Kuwait,F,28,Kuwait International Law School,Services,4.24
Reagan Wittier,Dominican Republic,F,24,Universidad Católica Nordestana,Engineering,4.98
Joseito Wylam,China,M,43,Northeast University at Qinhuangdao Campus,Legal,0.62
Vikki Gave,Indonesia,F,29,Universitas Tarumanagara,Product Management,2.2
Bar Haliburn,Brazil,M,24,Universidade Católica de Goiás,Services,1.48
Ninetta Manuello,Philippines,F,36,Silliman University,Legal,3.42
Romain Stares,Indonesia,F,22,Universitas Wisnuwardhana,Human Resources,4.23
Ethyl Monument,Indonesia,M,28,Universitas HKBP Nommensen,Support,3.47
Denver Meek,Colombia,M,30,Fundacion Escuela Colombiana de Rehabiliación,Services,0.48
Quincey de Almeida,Nigeria,M,44,Bells University of Technology,Services,1.25
Byram Inderwick,Russia,M,29,Russian Academy of Arts,Accounting,0.47
Kelsy Phython,Philippines,M,44,University of the Philippines Baguio,Sales,4.57
Bill Edgcumbe,Yemen,F,27,Yemenia University,Business Development,2.19
Gregorio Tamblyn,Indonesia,F,49,Universitas 17 Agustus 1945 Jakarta,Services,2.81
Cristy Palmby,Argentina,F,28,Universidad de Buenos Aires,Services,4.31
Hewitt Pothergill,Indonesia,M,45,Universitas Mercu Buana,Product Management,3.34
Zulema Morshead,Indonesia,F,22,Universitas Proklamasi 45,Research and Development,1.03
Owen Twydell,Belarus,M,29,Belarussian State University of Culture and Arts,Legal,2.44
Willabella Sleith,Indonesia,M,32,Politeknik Negeri Lhokseumawe,Training,2.01
Stacey Wrist,Poland,M,29,Medical Academy in Lublin,Business Development,1.45
Marcela Bummfrey,Sweden,M,35,Dalarna University College,Support,1.7
Vasily Chansonne,Thailand,M,49,Huachiew Chalermprakiet University,Legal,1.89
