Name ,Country ,Sex,Age,University ,Department ,CGPA
Emmey Pettegre,Honduras,M,32,Universidad José Cecilio del Valle,Support,3.46
Syman McCrudden,China,F,23,Hohai University Changzhou,Business Development,4.01
Nickie Gravenell,Sweden,M,21,School of Design and Crafts,Sales,4.88
Darrin Setterfield,Portugal,F,45,Instituto Politécnico de Coimbra,Research and Development,2.57
Iseabal Wethers,France,M,29,Ecole Nationale Supérieure d'Agronomie et des Industries Alimentaires,Research and Development,3.49
Dannel Haigh,Czech Republic,F,33,University of West Bohemia,Human Resources,4.38
Cherrita Pache,Portugal,M,48,Universidade Fernando Pessoa,Research and Development,1.77
Hetti Bursnoll,South Africa,M,46,University of South Africa,Training,2.07
Ram Bruntjen,Colombia,M,28,Universidad Bellas Artes,Services,0.94
Aindrea Buttery,Colombia,M,26,Universidad de La Salle,Engineering,4.87
Bale Stave,Azerbaijan,F,25,Sumgait State University,Services,2.14
Cornelle Scurry,Ghana,F,33,Presbyterian University College,Product Management,0.19
Elaine Hoofe,Indonesia,M,46,Universitas Pakuan,Business Development,4.19
Margot Fortesquieu,Brazil,M,22,Universidade de Mogi das Cruzes,Sales,2.46
Der Smorfit,Mongolia,M,27,Mongolian State University of Agriculture,Marketing,0.86
Free Rudsdale,Afghanistan,F,49,Afghan University,Services,0.89
Hugibert Othen,Syria,M,30,Mamoun Private University for Science and Technology,Human Resources,1.93
Fielding Coomer,Indonesia,F,47,Universitas Islam Jakarta,Legal,0.96
Ernaline Cinavas,Chile,F,23,Universidad Academia de Humanismo Cristiano,Training,1.51
Vita Gorrick,Yemen,F,36,Sana'a University,Engineering,0.59
Hedda Addionizio,China,F,22,Xuzhou Normal University,Training,1.84
Marcie Hindsberg,Russia,F,38,Kostroma State Technological University,Business Development,3.35
Wes Pawelek,Czech Republic,F,40,Prague College,Human Resources,4.82
Linzy Judron,Indonesia,M,49,Universitas Bengkulu,Research and Development,3.06
Gordie Jorcke,Indonesia,M,42,Universitas Jenderal Achmad Yani,Services,3.63
Artur Trawin,United States,M,24,Glenville State College,Engineering,4.69
Mariellen de Mullett,Indonesia,M,40,Universitas Surabaya,Sales,4.8
Dedie Vittery,Sweden,M,37,Linköping University,Support,4.38
Delia Haggerston,Brazil,M,28,Universidade de Caxias do Sul,Engineering,2.2
Malva Deboy,China,M,47,Capital University of Medical Sciences,Support,1.98
Zebadiah Popping,Philippines,M,38,University of the Philippines Diliman,Research and Development,2.14
Alan Semkins,France,M,23,Ecole Nationale Supérieure d'Ingénieurs de Génie Chimique,Product Management,4.79
Terrence Bolsteridge,Afghanistan,M,41,Jawzjan University,Training,4.83
Blondy Lazare,Nigeria,M,48,Ahmadu Bello University,Product Management,4.07
Karalee Forten,Poland,M,30,Academy of Economics in Katowice,Research and Development,3.16
Alvin Rumble,Poland,F,40,Medical Academy Karol Marcinkowski in Poznan,Support,0.71
Jarret Sorey,Mexico,M,34,Universidad Autónoma de Tlaxcala,Human Resources,1.15
Hilary Gras,Estonia,M,31,Estonian Academy of Arts,Product Management,4.4
Ilyssa Loeber,China,M,36,Capital Normal University,Sales,2.45
Moina Oldknowe,Indonesia,F,47,Unitomo Surabaya,Engineering,2.33
Bealle Inmett,Sweden,M,20,University College of Gävle,Sales,3.45
Laurianne Eldrid,Lebanon,F,44,Haigazian University,Legal,1.37
Mureil Honywill,China,F,38,Jilin Agricultural University,Training,4.96
Ollie Weatherhill,Panama,F,45,West Coast University (WCU),Marketing,2.97
Tommie Braga,Sweden,F,43,Karolinska Institute Stockholm,Engineering,2.46
Lucien Stickens,Malta,F,24,International Tourism Institute,Product Management,2.39
Nev Wiltshier,Czech Republic,F,47,Technical University of Liberec,Legal,0.39
Darby Tudor,Germany,M,26,DIPLOMA-Fachhochschule Ölsnitz/Vogtland,Product Management,4.81
Mireielle Cianni,Greece,F,33,American College of Thessaloniki,Product Management,3.82
Garfield Kerner,Burkina Faso,M,39,Université de Ouagadougou,Training,2.76
Hortensia Sorrell,China,F,43,Northwest Polytechnical University Xi'an,Engineering,3.6
Cally Bauduin,Indonesia,M,46,Universitas Jenderal Achmad Yani,Support,2.38
Tiphani Steffan,United States,M,50,University of Texas Health Center at Houston,Human Resources,4.32
Bellina Stean,China,F,29,Dalian Martime University,Training,1.9
Rossy Overall,Belarus,M,21,Vitebsk State Medical University,Marketing,1.37
Ronnie Taggerty,Chad,M,38,Université de N'Djamena,Marketing,4.95
Goddart Otto,China,M,33,Chengdu Institute of Sichuan International Studies University,Accounting,4.98
Filbert Stroyan,Poland,F,28,Medical Academy in Gdansk,Training,2.85
Ali Brennen,China,F,40,Shanghai Medical University,Legal,3.13
Aurlie Foyston,Russia,F,28,Vologda State Pedagogical University,Engineering,1.56
Kelila Philippeaux,Colombia,F,48,Fundacion Escuela Colombiana de Rehabiliación,Support,2.47
Trista Blouet,Portugal,F,40,Universidade do Algarve,Research and Development,0.61
Brinna Brobak,Germany,F,30,"Fachhochschule Rosenheim, Hochschule für Technik und Wirtschaft",Accounting,1.26
Jone Gatward,Italy,M,20,University of Florence,Marketing,1.15
