Name ,Country ,Sex,Age,University ,Department ,CGPA
Jaquelin Pleasance,Indonesia,M,34,Universitas Pasundan,Engineering,1.89
Jocelyn Rothschild,Portugal,F,32,Instituto Superior de Ciências Empresariais e de Turismo,Product Management,2.31
Stefan Durnford,Poland,M,22,Christian Theological Academy in Warszaw,Human Resources,2.58
Blinny Tyrwhitt,Canada,M,36,St. Mary's University,Engineering,2.13
Correy Matelaitis,New Zealand,F,21,Open Polytechnic ,Business Development,3.9
Claudina De Roeck,Sweden,F,44,Royal lnstitute of Technology,Product Management,2.84
Ashla Ollett,China,F,35,Henan Agriculture University,Human Resources,2.01
Agnella January 1st,Bosnia and Herzegovina,F,36,"Univerzitet u Mostaru ""Dzemal Bijedic""",Support,4.68
Addy Wareham,China,F,39,North China University of Technology,Legal,2.71
Jim Papaminas,Russia,M,31,Yugra State University,Human Resources,2.68
Karine Sanham,China,F,28,Southwest University of Finance and Economics,Marketing,4.17
Josefina McKeaveney,Ukraine,F,43,Khmelnitsky National University,Training,4.53
Shannan Guidelli,China,F,50,Xi'an Jiaotong-Liverpool University,Engineering,0.74
Karlie Pennone,Brazil,F,45,Universidade Federal de Lavras,Legal,1.18
Burton Bernade,Libya,F,22,Sebha University,Services,0.3
Justin Landman,China,F,50,Tongji University,Training,0.67
Ardith MacKain,Indonesia,F,50,Politeknik Negeri Lhokseumawe,Sales,3.28
Edward O'Hingerty,France,M,29,Ecole Supérieure d'Ingénieurs et de Techniciens pour l'Agriculture,Support,4.91
Anthony Peacher,Philippines,M,31,Don Mariano Marcos Memorial State University,Legal,0.07
Clarke Basnett,Estonia,F,34,Estonian Business School,Accounting,1.91
Laurence Daulby,Argentina,F,38,Instituto Universitario de Ciencias de la Salud Fundación H.A. Barceló,Legal,3.59
Corene Edmondson,Syria,M,42,University of Aleppo,Accounting,2.06
Rosanna Hallwell,Lithuania,F,44,Siauliai University,Business Development,4.3
Tait Curless,Czech Republic,F,32,University of New York in Prague,Research and Development,4.72
Lorelei Alekhov,Portugal,F,33,Universidade Lusiada,Support,1.24
Ramsey Tysack,Syria,F,21,University of Aleppo,Sales,3.11
Irv Marre,Tanzania,F,44,Sebatian Kolowa University College,Accounting,3.89
Rhianna Vitall,China,M,36,Hunan University,Human Resources,2.75
Cullie Magenny,France,F,36,Institut Catholique d'Arts et Métiers Lille,Product Management,2.59
Arie Tinkler,Namibia,M,34,International University of Management,Legal,2.52
Michelle McTeggart,Brazil,F,34,Universidade de Cruz Alta,Human Resources,2.94
Kalvin Thebeaud,Cayman Islands,F,39,International College of the Cayman Islands,Marketing,3.8
Tiebout Janous,Palestinian Territory,F,22,Birzeit University,Training,4.43
Nichol McComas,Indonesia,M,45,Politeknik Negeri Sambas,Research and Development,2.85
Jeralee Khadir,Japan,M,32,University of Bunkyo,Research and Development,3.23
Dorthy Zmitruk,China,M,47,South West University Yucai College,Engineering,1.77
Nara Doyley,Poland,F,24,University of Warsaw,Product Management,2.07
Rita Sebrens,Greece,F,48,Technological Education Institute of Patras,Research and Development,4.96
Chrisy Cammidge,France,M,27,Ecole Superieur d'Ingenieurs Leonard de Vinci,Sales,1.05
Tansy Way,France,M,35,Ecole Supérieure de Chimie Physique Electronique de Lyon,Training,1.08
Marje Pardie,United States,M,28,Ohio Dominican College,Accounting,2.1
